Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
8/6/20,82.5625,83.400002,81.830002,83.364998,82.336632,95654400,83.035004,0.472504,82.9015016,1.1619994,83.15700035,0.44975015
9/6/20,83.035004,86.402496,83.002502,85.997498,84.936646,147712400,86.974998,3.939994,84.1475006,1.245999,83.60162545,0.4446251
10/6/20,86.974998,88.692497,86.522499,88.209999,87.121872,166651600,87.327499,0.352501,85.2160002,1.0684996,84.10787545,0.50625
11/6/20,87.327499,87.764999,83.870003,83.974998,82.939102,201662400,86.18,-1.147499,85.3660002,0.15,84.71862525,0.6107498
12/6/20,86.18,86.949997,83.555,84.699997,83.655167,200146000,83.3125,-2.8675,86.331999,0.9659988,85.26775055,0.5491253
15/6/20,83.3125,86.419998,83.144997,85.747498,84.689743,138808800,87.864998,4.552498,86.694499,0.3625,85.8322506,0.56450005
16/6/20,87.864998,88.300003,86.18,88.019997,86.934212,165428800,88.787498,0.9225,86.7994994,0.1050004,86.2760006,0.44375
17/6/20,88.787498,88.849998,87.772499,87.897499,86.813217,114406400,87.852501,-0.934997,87.2955002,0.4960008,86.76762545,0.49162485
18/6/20,87.852501,88.362503,87.305,87.932503,86.847794,96820400,88.660004,0.807503,88.2,0.9044998,87.27337535,0.5057499
19/6/20,88.660004,89.139999,86.287498,87.43,86.351479,264476000,87.834999,-0.825005,88.8270004,0.6270004,87.81662525,0.5432499
22/6/20,87.834999,89.864998,87.787498,89.717499,88.610764,135445200,91,3.165001,89.3195008,0.4925004,88.39975015,0.5831249
23/6/20,91,93.095001,90.567497,91.6325,90.502144,212155600,91.25,0.25,89.7840012,0.4645004,88.9642502,0.56450005
24/6/20,91.25,92.197502,89.629997,90.014999,88.904594,192623200,90.175003,-1.074997,90.2725006,0.4884994,89.5215,0.5572498
25/6/20,90.175003,91.25,89.392502,91.209999,90.084862,137522400,91.102501,0.927498,90.3680008,0.0955002,89.98587495,0.46437495
26/6/20,91.102501,91.330002,88.254997,88.407501,87.316925,205256800,88.3125,-2.790001,90.1720002,-0.1960006,90.38624995,0.400375
29/6/20,88.3125,90.542503,87.82,90.445,89.329292,130646000,90.019997,1.707497,90.178,0.0059998,90.9404999,0.55424995
30/6/20,90.019997,91.495003,90,91.199997,90.074974,140223200,91.279999,1.260002,90.5354998,0.3574998,91.5168747,0.5763748
1/7/20,91.279999,91.839996,90.977501,91.027496,89.904602,110737200,91.962502,0.682503,90.8149996,0.2794998,92.0731247,0.55625
2/7/20,91.962502,92.6175,90.910004,91.027496,89.904602,114041600,92.5,0.537498,91.9229998,1.1080002,92.4618748,0.3887501
6/7/20,92.5,93.945,92.467499,93.462502,92.309578,118655600,93.852501,1.352501,92.7550004,0.8320006,92.9186249,0.4567501
7/7/20,93.852501,94.654999,93.057503,93.172501,92.023148,112424400,94.18,0.327499,93.7515,0.9964996,93.30649985,0.38787495
8/7/20,94.18,95.375,94.089996,95.342499,94.166382,117092000,96.262497,2.082497,94.4259994,0.6744994,93.87337495,0.5668751
